ts,host,soc,os,model,rep,num_thread,num_ctx,num_predict,prompt_tokens,gen_tokens,prompt_sec,gen_sec,ttft_sec,total_sec,prompt_tps,gen_tps,proc_rss_mb,proc_hwm_mb,sys_mem_avail_mb,cpu_temp_c
2025-10-06_17:18:35,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,4096,64,4096,64,152.6394,5.0661,157.9925,157.7941,26.83,12.63,179,184,6944,73.0
2025-10-06_17:21:16,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,4096,64,4096,64,152.7332,5.1432,158.1570,157.9604,26.82,12.44,179,184,6947,73.5
2025-10-06_17:23:57,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,4096,64,4096,64,152.8652,5.1651,158.3142,158.1150,26.79,12.39,180,184,6939,73.5
2025-10-06_17:26:42,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,2,4096,128,4096,128,152.7685,10.3297,163.3821,163.1848,26.81,12.39,183,184,6941,73.0
2025-10-06_17:29:28,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,2,4096,128,4096,128,152.7988,10.3829,163.4717,163.2681,26.81,12.33,179,184,6934,73.0
2025-10-06_17:32:14,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,2,4096,128,4096,128,152.9735,10.3487,163.6106,163.4095,26.78,12.37,179,184,6939,74.0
2025-10-06_17:32:25,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,4,512,32,512,32,6.1622,1.2899,8.4822,8.4295,83.09,24.81,179,184,7072,77.9
2025-10-06_17:32:34,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,4,512,32,512,32,6.0730,1.3555,7.5560,7.5045,84.31,23.61,180,184,7070,78.4
2025-10-06_17:32:44,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,4,512,32,512,32,6.1199,1.5606,7.8101,7.7582,83.66,20.50,183,184,7064,78.8
2025-10-06_17:32:55,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,4,512,64,512,64,6.1689,2.7137,9.0107,8.9572,83.00,23.58,181,184,7073,79.8
2025-10-06_17:33:06,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,2,4,512,64,512,64,6.1693,2.4833,8.7836,8.7300,82.99,25.77,183,184,7069,79.3
2025-10-06_17:33:18,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,3,4,512,64,512,64,6.1970,2.9057,9.2316,9.1802,82.62,22.03,179,184,7066,78.8
2025-10-06_17:33:32,raspberrypi,raspberry-pi,Debian GNU/Linux 13 (trixie),nano-125m-q5,1,4,512,128,512,128,6.2511,5.1621,11.5455,11.4914,81.91,24.80,179,184,7066,80.8
